tce_period,tce_duration,tce_depth,tce_model_snr,tce_bin_oedp_stat,tce_impact,tce_prad,av_training_set
2.57772,8.244,21.15,6.946,0.01205,0.6689,0.6289,UNK
0.692797,0.5059,27800.0,323.0,0.2935,0.8678,28.24,AFP
0.968163,5.249,46.48,11.44,0.3451,0.5392,0.713,AFP
0.968354,4.116,70.15,7.949,0.0004121,0.1998,0.5675,AFP
0.700442,1.615,41.3,12.18,0.099,0.2915,1.617,AFP
0.700452,1.709,23.68,8.848,0.02482,0.9055,1.423,AFP
2.08014,5.775,27.68,10.81,0.01433,0.6921,1.025,AFP
2.08023,7.487,26.26,11.76,6.384,0.7,1.0,AFP
5.88843,1.06,136.6,10.34,0.7669,0.7602,1.39,UNK
0.630106,0.717,131.5,13.59,0.0,0.4925,1.343,AFP
494.127,2.763,136.4,2.059,0.0,0.5391,1.445,UNK
0.643683,0.9114,37.2,9.341,0.004268,0.7159,0.7369,AFP
0.643679,1.023,29.06,8.104,0.04958,0.6983,0.6467,AFP
0.760636,3.041,31.77,11.17,0.937,0.05874,0.8667,AFP
38.1688,6.769,83.53,8.166,0.2184,0.8681,1.534,PC
2.33824,6.703,109.9,16.39,0.7711,0.8891,1.61,AFP
3.79584,15.38,18.97,7.371,4.632,0.6003,0.8085,NTP
3.07312,4.649,282.1,8.788,0.0006602,0.5036,3.299,AFP
3.07306,2.368,430.7,11.22,1.311,0.1094,3.98,AFP
140.103,17.94,332.6,18.13,0.1085,0.3028,3.851,PC
14.1374,2.247,382.2,7.761,0.1198,0.495,1.398,UNK
0.750956,3.626,29.4,9.802,1.057,0.02765,0.815,UNK
1.2538,2.688,23.33,9.775,0.3289,0.2248,0.8626,AFP
1.25373,4.735,18.31,10.05,0.000674,0.02704,0.76,AFP
13.3235,3.952,109.5,16.79,0.01044,0.9135,1.522,PC
1.58556,3.646,35.42,8.951,1.357,0.09555,1.05,UNK
0.611056,1.468,31.21,10.62,0.002014,0.1002,0.8731,AFP
0.611014,2.067,15.96,6.081,0.5287,0.4122,0.6331,AFP
1.22208,1.698,32.84,9.615,7.947e-09,0.9102,1.036,UNK
0.673138,1.07,199.1,11.26,7.919e-17,0.1024,1.197,AFP
1.04366,2.109,46.08,10.36,0.2043,0.7,1.891,AFP
1.83852,1.5,19390.0,-1.0,0.0,0.1,13.01,AFP
1.83851,3.109,116900.0,3155.0,2.147,0.7033,40.63,AFP
0.919256,2.0,14680.0,-1.0,0.0,0.1,12.76,UNK
54.3563,6.378,10520.0,547.5,0.1174,0.999,22.84,PC
76.6135,9.547,509.6,23.09,4.573,0.5216,2.38,PC
453.951,9.721,426.3,3.98,0.6858,0.6928,1.875,UNK
73.7097,10.36,133.4,15.9,3.067,0.8905,2.034,PC
0.864109,4.741,31.92,10.82,0.2251,0.4667,0.5285,UNK
1.28785,3.514,14.64,7.676,0.3856,0.938,0.6655,NTP
0.916937,3.5,103.9,-1.0,0.0,0.1,0.854,UNK
5.08857,4.612,188.2,29.59,1.15,0.9998,5.266,NTP
2.54433,3.374,75.03,13.41,0.0,0.1689,1.704,UNK
0.848111,2.62,28.03,11.48,1.409,0.1024,1.04,UNK
2.79091,11.37,21.05,9.026,0.0003267,0.7791,0.752,NTP
0.640756,1.791,18.05,7.811,0.005295,0.9053,1.459,UNK
3.00609,6.869,13.36,7.912,0.5592,0.9394,1.348,UNK
15.9266,5.0,280800.0,-1.0,0.0,0.1,44.39,AFP
